"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2010",4.6,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2011",4.4,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2012",5.1,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2013",5.2,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2014",5.2,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2015",6.7,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2016",5.8,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2017",5.7,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2018",5.3,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2019",5.4,
"CZE","CTEXAM","INAMBULATORY","1000HAB","A","2020",4.8,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2010",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2011",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2012",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2013",0,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2014",0.6,"B"
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2015",2.3,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2016",1.8,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2017",1.1,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2018",0.7,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2019",0.4,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2020",0.5,
"DNK","CTEXAM","INAMBULATORY","1000HAB","A","2021",0.4,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2010",1.3,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2011",0.8,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2012",0.6,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2013",0.6,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2014",0.6,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2015",0.5,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2016",0.5,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2017",0.5,
"FIN","CTEXAM","INAMBULATORY","1000HAB","A","2018",0.5,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2010",53.1,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2011",56.3,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2012",72.4,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2013",63.9,"B"
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2014",65.3,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2015",67.4,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2016",70,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2017",71,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2018",73.6,
"FRA","CTEXAM","INAMBULATORY","1000HAB","A","2019",76.2,
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2010",69.4,
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2011",72.1,
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2012",72.6,
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2013",73.8,
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2014",78.7,
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2015",75.9,"E"
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2016",77.7,"E"
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2017",66.5,
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2018",68.8,"E"
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2019",72.2,"E"
"DEU","CTEXAM","INAMBULATORY","1000HAB","A","2020",72.1,"E"
"GRC","CTEXAM","INAMBULATORY","1000HAB","A","2012",114.1,"E"
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2010",0,
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2011",0,
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2012",0,
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2013",0,
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2014",0,
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2015",0,
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2016",0,
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2017",0,
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2018",0,
"LUX","CTEXAM","INAMBULATORY","1000HAB","A","2019",0,
