"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","MEDICALDOC","TOT","1000HAB","A","2010",4.8,
"AUT","MEDICALDOC","TOT","1000HAB","A","2011",4.84,
"AUT","MEDICALDOC","TOT","1000HAB","A","2012",4.9,
"AUT","MEDICALDOC","TOT","1000HAB","A","2013",4.99,
"AUT","MEDICALDOC","TOT","1000HAB","A","2014",5.05,
"AUT","MEDICALDOC","TOT","1000HAB","A","2015",5.09,
"AUT","MEDICALDOC","TOT","1000HAB","A","2016",5.13,
"AUT","MEDICALDOC","TOT","1000HAB","A","2017",5.18,
"AUT","MEDICALDOC","TOT","1000HAB","A","2018",5.24,
"AUT","MEDICALDOC","TOT","1000HAB","A","2019",5.32,
"AUT","MEDICALDOC","TOT","1000HAB","A","2020",5.35,
"AUT","MEDICALDOC","TOT","1000HAB","A","2021",5.45,
"BEL","MEDICALDOC","TOT","1000HAB","A","2010",2.92,
"BEL","MEDICALDOC","TOT","1000HAB","A","2011",2.92,
"BEL","MEDICALDOC","TOT","1000HAB","A","2012",2.93,
"BEL","MEDICALDOC","TOT","1000HAB","A","2013",2.96,
"BEL","MEDICALDOC","TOT","1000HAB","A","2014",2.98,
"BEL","MEDICALDOC","TOT","1000HAB","A","2015",3.02,
"BEL","MEDICALDOC","TOT","1000HAB","A","2016",3.07,
"BEL","MEDICALDOC","TOT","1000HAB","A","2017",3.08,
"BEL","MEDICALDOC","TOT","1000HAB","A","2018",3.13,
"BEL","MEDICALDOC","TOT","1000HAB","A","2019",3.16,
"BEL","MEDICALDOC","TOT","1000HAB","A","2020",3.21,
"CZE","MEDICALDOC","TOT","1000HAB","A","2010",3.6,
"CZE","MEDICALDOC","TOT","1000HAB","A","2011",3.64,
"CZE","MEDICALDOC","TOT","1000HAB","A","2012",3.67,
"CZE","MEDICALDOC","TOT","1000HAB","A","2013",3.69,
"CZE","MEDICALDOC","TOT","1000HAB","A","2018",4.04,
"CZE","MEDICALDOC","TOT","1000HAB","A","2019",4.07,"E"
"CZE","MEDICALDOC","TOT","1000HAB","A","2020",4.1,"E"
"DNK","MEDICALDOC","TOT","1000HAB","A","2010",3.73,
"DNK","MEDICALDOC","TOT","1000HAB","A","2011",3.79,
"DNK","MEDICALDOC","TOT","1000HAB","A","2012",3.84,
"DNK","MEDICALDOC","TOT","1000HAB","A","2013",3.85,
"DNK","MEDICALDOC","TOT","1000HAB","A","2014",3.88,
"DNK","MEDICALDOC","TOT","1000HAB","A","2015",3.93,
"DNK","MEDICALDOC","TOT","1000HAB","A","2016",4,
"DNK","MEDICALDOC","TOT","1000HAB","A","2017",4.11,
"DNK","MEDICALDOC","TOT","1000HAB","A","2018",4.2,
"DNK","MEDICALDOC","TOT","1000HAB","A","2019",4.25,
"FIN","MEDICALDOC","TOT","1000HAB","A","2010",3.17,
"FIN","MEDICALDOC","TOT","1000HAB","A","2011",3.25,
"FIN","MEDICALDOC","TOT","1000HAB","A","2012",3.25,
"FIN","MEDICALDOC","TOT","1000HAB","A","2013",3.31,
"FIN","MEDICALDOC","TOT","1000HAB","A","2014",3.38,
"FIN","MEDICALDOC","TOT","1000HAB","A","2015",3.41,
"FIN","MEDICALDOC","TOT","1000HAB","A","2016",3.42,
"FIN","MEDICALDOC","TOT","1000HAB","A","2017",3.46,
"FIN","MEDICALDOC","TOT","1000HAB","A","2018",3.48,
"FRA","MEDICALDOC","TOT","1000HAB","A","2010",3.27,
"FRA","MEDICALDOC","TOT","1000HAB","A","2011",3.3,"B"
"FRA","MEDICALDOC","TOT","1000HAB","A","2012",3.31,
"FRA","MEDICALDOC","TOT","1000HAB","A","2013",3.32,
"FRA","MEDICALDOC","TOT","1000HAB","A","2014",3.32,
"FRA","MEDICALDOC","TOT","1000HAB","A","2015",3.33,
"FRA","MEDICALDOC","TOT","1000HAB","A","2016",3.34,
"FRA","MEDICALDOC","TOT","1000HAB","A","2017",3.35,
"FRA","MEDICALDOC","TOT","1000HAB","A","2018",3.33,
"FRA","MEDICALDOC","TOT","1000HAB","A","2019",3.36,
"FRA","MEDICALDOC","TOT","1000HAB","A","2020",3.36,
"DEU","MEDICALDOC","TOT","1000HAB","A","2010",3.71,
"DEU","MEDICALDOC","TOT","1000HAB","A","2011",3.88,
"DEU","MEDICALDOC","TOT","1000HAB","A","2012",3.95,
"DEU","MEDICALDOC","TOT","1000HAB","A","2013",4.04,
"DEU","MEDICALDOC","TOT","1000HAB","A","2014",4.11,
"DEU","MEDICALDOC","TOT","1000HAB","A","2015",4.14,
"DEU","MEDICALDOC","TOT","1000HAB","A","2016",4.19,
"DEU","MEDICALDOC","TOT","1000HAB","A","2017",4.25,
"DEU","MEDICALDOC","TOT","1000HAB","A","2018",4.31,
"DEU","MEDICALDOC","TOT","1000HAB","A","2019",4.39,
"DEU","MEDICALDOC","TOT","1000HAB","A","2020",4.47,
"DEU","MEDICALDOC","TOT","1000HAB","A","2021",4.53,
"IRL","MEDICALDOC","TOT","1000HAB","A","2011",2.67,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2012",2.71,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2013",2.67,"E"
"IRL","MEDICALDOC","TOT","1000HAB","A","2014",3.01,"B"
"IRL","MEDICALDOC","TOT","1000HAB","A","2015",3.12,
"IRL","MEDICALDOC","TOT","1000HAB","A","2016",3.19,
"IRL","MEDICALDOC","TOT","1000HAB","A","2017",3.26,
"IRL","MEDICALDOC","TOT","1000HAB","A","2018",3.28,
"IRL","MEDICALDOC","TOT","1000HAB","A","2019",3.32,
"IRL","MEDICALDOC","TOT","1000HAB","A","2020",3.46,
"IRL","MEDICALDOC","TOT","1000HAB","A","2021",4.05,"B"
"ITA","MEDICALDOC","TOT","1000HAB","A","2010",3.82,"E"
"ITA","MEDICALDOC","TOT","1000HAB","A","2011",3.9,"E"
"ITA","MEDICALDOC","TOT","1000HAB","A","2012",3.87,
"ITA","MEDICALDOC","TOT","1000HAB","A","2013",3.9,
"ITA","MEDICALDOC","TOT","1000HAB","A","2014",3.88,
"ITA","MEDICALDOC","TOT","1000HAB","A","2015",3.84,
"ITA","MEDICALDOC","TOT","1000HAB","A","2016",3.95,
"ITA","MEDICALDOC","TOT","1000HAB","A","2017",3.99,
"ITA","MEDICALDOC","TOT","1000HAB","A","2018",3.98,
"ITA","MEDICALDOC","TOT","1000HAB","A","2019",4.05,
"ITA","MEDICALDOC","TOT","1000HAB","A","2020",4,
"ITA","MEDICALDOC","TOT","1000HAB","A","2021",4.13,"P"
"LUX","MEDICALDOC","TOT","1000HAB","A","2010",2.77,
"LUX","MEDICALDOC","TOT","1000HAB","A","2011",2.78,
"LUX","MEDICALDOC","TOT","1000HAB","A","2012",2.81,
"LUX","MEDICALDOC","TOT","1000HAB","A","2013",2.83,
"LUX","MEDICALDOC","TOT","1000HAB","A","2014",2.88,
"LUX","MEDICALDOC","TOT","1000HAB","A","2015",2.91,"B"
"LUX","MEDICALDOC","TOT","1000HAB","A","2016",2.88,
"LUX","MEDICALDOC","TOT","1000HAB","A","2017",2.98,
"NLD","MEDICALDOC","TOT","1000HAB","A","2010",2.96,
"NLD","MEDICALDOC","TOT","1000HAB","A","2011",3.13,
"NLD","MEDICALDOC","TOT","1000HAB","A","2012",3.25,
"NLD","MEDICALDOC","TOT","1000HAB","A","2013",3.31,
"POL","MEDICALDOC","TOT","1000HAB","A","2010",2.19,
"POL","MEDICALDOC","TOT","1000HAB","A","2011",2.21,
"POL","MEDICALDOC","TOT","1000HAB","A","2012",2.23,
"POL","MEDICALDOC","TOT","1000HAB","A","2013",2.24,
"POL","MEDICALDOC","TOT","1000HAB","A","2014",2.31,
"POL","MEDICALDOC","TOT","1000HAB","A","2015",2.33,
"POL","MEDICALDOC","TOT","1000HAB","A","2016",2.42,
"POL","MEDICALDOC","TOT","1000HAB","A","2017",2.38,
"POL","MEDICALDOC","TOT","1000HAB","A","2019",3.3,
"SVK","MEDICALDOC","TOT","1000HAB","A","2010",3.36,
"SVK","MEDICALDOC","TOT","1000HAB","A","2011",3.31,
"SVK","MEDICALDOC","TOT","1000HAB","A","2012",3.36,
"SVK","MEDICALDOC","TOT","1000HAB","A","2013",3.39,
"SVK","MEDICALDOC","TOT","1000HAB","A","2014",3.43,
"SVK","MEDICALDOC","TOT","1000HAB","A","2015",3.45,
"SVK","MEDICALDOC","TOT","1000HAB","A","2016",3.47,
"SVK","MEDICALDOC","TOT","1000HAB","A","2017",3.42,
"SVK","MEDICALDOC","TOT","1000HAB","A","2018",3.52,
"SVK","MEDICALDOC","TOT","1000HAB","A","2019",3.57,
"SVK","MEDICALDOC","TOT","1000HAB","A","2020",3.67,
"ESP","MEDICALDOC","TOT","1000HAB","A","2010",3.76,
"ESP","MEDICALDOC","TOT","1000HAB","A","2011",3.84,
"ESP","MEDICALDOC","TOT","1000HAB","A","2012",3.82,
"ESP","MEDICALDOC","TOT","1000HAB","A","2013",3.81,
"ESP","MEDICALDOC","TOT","1000HAB","A","2014",3.8,
"ESP","MEDICALDOC","TOT","1000HAB","A","2015",3.85,
"ESP","MEDICALDOC","TOT","1000HAB","A","2016",3.82,
"ESP","MEDICALDOC","TOT","1000HAB","A","2017",3.88,
"ESP","MEDICALDOC","TOT","1000HAB","A","2018",4.02,
"ESP","MEDICALDOC","TOT","1000HAB","A","2019",4.4,
"ESP","MEDICALDOC","TOT","1000HAB","A","2020",4.58,
"CHE","MEDICALDOC","TOT","1000HAB","A","2010",3.81,
"CHE","MEDICALDOC","TOT","1000HAB","A","2011",3.83,
"CHE","MEDICALDOC","TOT","1000HAB","A","2012",3.92,
"CHE","MEDICALDOC","TOT","1000HAB","A","2013",4.04,
"CHE","MEDICALDOC","TOT","1000HAB","A","2014",4.13,
"CHE","MEDICALDOC","TOT","1000HAB","A","2015",4.2,
"CHE","MEDICALDOC","TOT","1000HAB","A","2016",4.25,
"CHE","MEDICALDOC","TOT","1000HAB","A","2017",4.3,
"CHE","MEDICALDOC","TOT","1000HAB","A","2018",4.34,
"CHE","MEDICALDOC","TOT","1000HAB","A","2019",4.35,
"CHE","MEDICALDOC","TOT","1000HAB","A","2020",4.39,
"CHE","MEDICALDOC","TOT","1000HAB","A","2021",4.45,
"GBR","MEDICALDOC","TOT","1000HAB","A","2010",2.65,
"GBR","MEDICALDOC","TOT","1000HAB","A","2011",2.68,
"GBR","MEDICALDOC","TOT","1000HAB","A","2012",2.7,
"GBR","MEDICALDOC","TOT","1000HAB","A","2013",2.71,
"GBR","MEDICALDOC","TOT","1000HAB","A","2014",2.75,
"GBR","MEDICALDOC","TOT","1000HAB","A","2015",2.77,"B"
"GBR","MEDICALDOC","TOT","1000HAB","A","2016",2.78,
"GBR","MEDICALDOC","TOT","1000HAB","A","2017",2.81,
"GBR","MEDICALDOC","TOT","1000HAB","A","2018",2.84,
"GBR","MEDICALDOC","TOT","1000HAB","A","2019",2.95,
"GBR","MEDICALDOC","TOT","1000HAB","A","2020",3.03,"E"
"GBR","MEDICALDOC","TOT","1000HAB","A","2021",3.18,
"EST","MEDICALDOC","TOT","1000HAB","A","2010",3.24,
"EST","MEDICALDOC","TOT","1000HAB","A","2011",3.29,
"EST","MEDICALDOC","TOT","1000HAB","A","2012",3.28,
"EST","MEDICALDOC","TOT","1000HAB","A","2013",3.33,"B"
"EST","MEDICALDOC","TOT","1000HAB","A","2014",3.36,
"EST","MEDICALDOC","TOT","1000HAB","A","2015",3.41,
"EST","MEDICALDOC","TOT","1000HAB","A","2016",3.46,
"EST","MEDICALDOC","TOT","1000HAB","A","2017",3.47,
"EST","MEDICALDOC","TOT","1000HAB","A","2018",3.48,
"EST","MEDICALDOC","TOT","1000HAB","A","2019",3.47,
"EST","MEDICALDOC","TOT","1000HAB","A","2020",3.48,
"SVN","MEDICALDOC","TOT","1000HAB","A","2010",2.43,
"SVN","MEDICALDOC","TOT","1000HAB","A","2011",2.49,
"SVN","MEDICALDOC","TOT","1000HAB","A","2012",2.54,
"SVN","MEDICALDOC","TOT","1000HAB","A","2013",2.63,
"SVN","MEDICALDOC","TOT","1000HAB","A","2014",2.77,
"SVN","MEDICALDOC","TOT","1000HAB","A","2015",2.83,
"SVN","MEDICALDOC","TOT","1000HAB","A","2016",3.01,
"SVN","MEDICALDOC","TOT","1000HAB","A","2017",3.1,
"SVN","MEDICALDOC","TOT","1000HAB","A","2018",3.18,
"SVN","MEDICALDOC","TOT","1000HAB","A","2019",3.26,
"SVN","MEDICALDOC","TOT","1000HAB","A","2020",3.3,
"LVA","MEDICALDOC","TOT","1000HAB","A","2010",3.11,
"LVA","MEDICALDOC","TOT","1000HAB","A","2011",3.13,
"LVA","MEDICALDOC","TOT","1000HAB","A","2012",3.14,
"LVA","MEDICALDOC","TOT","1000HAB","A","2013",3.19,
"LVA","MEDICALDOC","TOT","1000HAB","A","2014",3.22,
"LVA","MEDICALDOC","TOT","1000HAB","A","2015",3.2,
"LVA","MEDICALDOC","TOT","1000HAB","A","2016",3.21,
"LVA","MEDICALDOC","TOT","1000HAB","A","2017",3.21,
"LVA","MEDICALDOC","TOT","1000HAB","A","2018",3.3,
"LVA","MEDICALDOC","TOT","1000HAB","A","2019",3.27,
"LVA","MEDICALDOC","TOT","1000HAB","A","2020",3.34,
"LTU","MEDICALDOC","TOT","1000HAB","A","2010",3.95,
"LTU","MEDICALDOC","TOT","1000HAB","A","2011",4.1,
"LTU","MEDICALDOC","TOT","1000HAB","A","2012",4.22,
"LTU","MEDICALDOC","TOT","1000HAB","A","2013",4.28,
"LTU","MEDICALDOC","TOT","1000HAB","A","2014",4.31,
"LTU","MEDICALDOC","TOT","1000HAB","A","2015",4.34,
"LTU","MEDICALDOC","TOT","1000HAB","A","2016",4.47,
"LTU","MEDICALDOC","TOT","1000HAB","A","2017",4.56,
"LTU","MEDICALDOC","TOT","1000HAB","A","2018",4.6,
"LTU","MEDICALDOC","TOT","1000HAB","A","2019",4.57,
"LTU","MEDICALDOC","TOT","1000HAB","A","2020",4.48,
