"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2010",5,
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2011",4.9,
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2012",4.6,"B"
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2013",4.5,
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2014",4.5,
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2015",4.6,"B"
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2016",4.8,
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2017",4.5,
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2018",4.6,
"AUS","HOSPITALSTAY","ACUTE","DAY","A","2019",4.7,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2010",6.6,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2011",6.5,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2012",6.5,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2013",6.5,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2014",6.5,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2015",6.5,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2016",6.4,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2017",6.4,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2018",6.3,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2019",6.3,
"AUT","HOSPITALSTAY","ACUTE","DAY","A","2020",6.4,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2010",7.2,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2011",7.1,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2012",7,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2013",6.9,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2014",6.9,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2015",6.8,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2016",6.7,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2017",6.6,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2018",6.6,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2019",6.5,
"BEL","HOSPITALSTAY","ACUTE","DAY","A","2020",6.7,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2010",7.7,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2011",7.6,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2012",7.6,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2013",7.5,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2014",7.6,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2015",7.4,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2016",7.5,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2017",7.4,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2018",7.5,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2019",7.7,
"CAN","HOSPITALSTAY","ACUTE","DAY","A","2020",7.7,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2010",6.6,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2011",6.4,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2012",6.2,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2013",6,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2014",6,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2015",5.9,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2016",5.9,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2017",5.8,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2018",5.8,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2019",5.7,
"CZE","HOSPITALSTAY","ACUTE","DAY","A","2020",5.9,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2010",7,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2011",6.9,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2012",6.9,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2013",6.8,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2014",6.7,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2015",6.6,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2016",6.5,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2017",6.4,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2018",6.4,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2019",6.2,
"FIN","HOSPITALSTAY","ACUTE","DAY","A","2020",6.3,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2010",5.8,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2011",5.7,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2012",5.7,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2013",5.6,"B"
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2014",5.6,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2015",5.6,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2016",5.5,
